"Time (s) Run #1";"Current (A) Run #1";"Temperature (°C) Run #1";"ΔT (°C) Run #1";"ΔE₁ (J) Run #1";"ΔE (J) Run #1"
44,100;0,320;24,09;0,08;0,10;40,86
44,200;0,410;24,09;0,08;0,17;41,03
44,300;0,456;24,07;0,06;0,21;41,24
44,400;0,294;24,07;0,06;0,09;41,33
44,500;0,268;24,06;0,05;0,07;41,40
44,600;0,304;24,07;0,06;0,09;41,49
44,700;0,470;24,07;0,06;0,22;41,71
44,800;0,333;24,09;0,08;0,11;41,82
44,900;0,298;24,09;0,08;0,09;41,91
45,000;0,357;24,07;0,06;0,13;42,04
45,100;0,507;24,09;0,08;0,26;42,30
45,200;0,425;24,07;0,06;0,18;42,48
45,300;0,291;24,07;0,06;0,08;42,56
45,400;0,295;24,10;0,09;0,09;42,65
45,500;0,465;24,07;0,06;0,22;42,87
45,600;0,373;24,06;0,05;0,14;43,01
45,700;0,314;24,07;0,06;0,10;43,10
45,800;0,276;24,06;0,05;0,08;43,18
45,900;0,415;24,06;0,05;0,17;43,35
46,000;0,482;24,07;0,06;0,23;43,58
46,100;0,307;24,07;0,06;0,09;43,68
46,200;0,271;24,07;0,06;0,07;43,75
46,300;0,357;24,10;0,09;0,13;43,88
46,400;0,510;24,07;0,06;0,26;44,14
46,500;0,275;24,07;0,06;0,08;44,22
46,600;0,247;24,10;0,09;0,06;44,28
46,700;0,203;24,09;0,08;0,04;44,32
46,800;0,344;24,07;0,06;0,12;44,44
46,900;0,257;24,09;0,08;0,07;44,50
47,000;0,360;24,07;0,06;0,13;44,63
47,100;0,271;24,09;0,08;0,07;44,70
47,200;0,304;24,10;0,09;0,09;44,80
47,300;0,466;24,07;0,06;0,22;45,01
47,400;0,512;24,07;0,06;0,26;45,28
47,500;0,281;24,07;0,06;0,08;45,35
47,600;0,303;24,07;0,06;0,09;45,45
47,700;0,475;24,07;0,06;0,23;45,67
47,800;0,496;24,07;0,06;0,25;45,92
47,900;0,285;24,07;0,06;0,08;46,00
48,000;0,279;24,09;0,08;0,08;46,08
48,100;0,383;24,10;0,09;0,15;46,22
48,200;0,483;24,09;0,08;0,23;46,46
48,300;0,285;24,07;0,06;0,08;46,54
48,400;0,256;24,07;0,06;0,07;46,60
48,500;0,305;24,10;0,09;0,09;46,70
48,600;0,536;24,06;0,05;0,29;46,98
48,700;0,321;24,09;0,08;0,10;47,09
48,800;0,277;24,07;0,06;0,08;47,16
48,900;0,335;24,10;0,09;0,11;47,28
49,000;0,556;24,09;0,08;0,31;47,59
49,100;0,342;24,07;0,06;0,12;47,70
49,200;0,272;24,07;0,06;0,07;47,78
49,300;0,260;24,10;0,09;0,07;47,85
49,400;0,461;24,09;0,08;0,21;48,06
49,500;0,472;24,09;0,08;0,22;48,28
49,600;0,276;24,10;0,09;0,08;48,36
49,700;0,263;24,07;0,06;0,07;48,43
49,800;0,367;24,10;0,09;0,13;48,56
49,900;0,511;24,09;0,08;0,26;48,82
50,000;0,266;24,07;0,06;0,07;48,89
50,100;0,238;24,10;0,09;0,06;48,95
50,200;0,307;24,10;0,09;0,09;49,04
50,300;0,537;24,09;0,08;0,29;49,33
50,400;0,314;24,06;0,05;0,10;49,43
50,500;0,351;24,09;0,08;0,12;49,55
50,600;0,293;24,07;0,06;0,09;49,64
50,700;0,507;24,07;0,06;0,26;49,90
50,800;0,403;24,07;0,06;0,16;50,06
50,900;0,335;24,09;0,08;0,11;50,17
51,000;0,242;24,07;0,06;0,06;50,23
51,100;0,473;24,07;0,06;0,22;50,45
51,200;0,444;24,10;0,09;0,20;50,65
51,300;0,319;24,10;0,09;0,10;50,75
51,400;0,266;24,07;0,06;0,07;50,82
51,500;0,436;24,07;0,06;0,19;51,01
51,600;0,483;24,10;0,09;0,23;51,25
51,700;0,314;24,09;0,08;0,10;51,34
51,800;0,241;24,09;0,08;0,06;51,40
51,900;0,364;24,07;0,06;0,13;51,54
52,000;0,503;24,09;0,08;0,25;51,79
52,100;0,284;24,09;0,08;0,08;51,87
52,200;0,322;24,09;0,08;0,10;51,97
52,300;0,322;24,10;0,09;0,10;52,08
52,400;0,531;24,09;0,08;0,28;52,36
52,500;0,299;24,05;0,04;0,09;52,45
52,600;0,297;24,10;0,09;0,09;52,54
52,700;0,282;24,10;0,09;0,08;52,62
52,800;0,512;24,09;0,08;0,26;52,88
52,900;0,395;24,09;0,08;0,16;53,03
53,000;0,311;24,06;0,05;0,10;53,13
53,100;0,297;24,09;0,08;0,09;53,22
53,200;0,485;24,06;0,05;0,24;53,46
53,300;0,382;24,10;0,09;0,15;53,60
53,400;0,315;24,09;0,08;0,10;53,70
53,500;0,269;24,10;0,09;0,07;53,77
53,600;0,421;24,09;0,08;0,18;53,95
53,700;0,475;24,09;0,08;0,23;54,18
53,800;0,308;24,10;0,09;0,09;54,27
53,900;0,221;24,07;0,06;0,05;54,32
